category,department,expense_category,exp_type_category,expense_name,amount,fund_key
General Government,Assessing,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,1525,general
General Government,Assessing,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,32570,general
General Government,Assessing,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,12260,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,DENTAL INS,5259,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,DISABILITY INS,1991,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,FICA,33030,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,HEALTH INS,101537,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,LIFE INS,749,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,OVERTIME WAGES,4117,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,PER DIEMS - BOR,630,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,SALARIES & WAGES-ASSESSORS OFC,427643,general
General Government,Assessing,Salary & Benefits,Salary & Benefits,WRS,31087,general
General Government,Assessing,Software and Contracted Services,Software and Contracted Services,OTHER CONTRACTUAL,27850,general
General Government,Assessing,Software and Contracted Services,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",20400,general
General Government,Assessing,"Training,Travel, Tuition","Training,Travel, Tuition",TRAINING & TRAVEL,3600,general
General Government,Assessing,"Training,Travel, Tuition","Training,Travel, Tuition",TUITION REIMBURSEMENT,650,general
General Government,Assessing,"Training,Travel, Tuition","Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,350,general
General Government,Assessing,Uniforms & Protective Gear,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,240,general
General Government,Assessing,Vehicle Expense,"Vehicle Expense, Gas, Fuel",LEVY-ASSESSING FLEET VEHICLES,3501,capital
General Government,Assessing,Vehicle Expense,"Vehicle Expense, Gas, Fuel","VEHICLE EXPENSE (G&O, REPAIRS)",1000,general
General Government,City Clerk,Election Costs,Election Costs,ELECTION COSTS,46075,general
General Government,City Clerk,General Office,General Office,LEASE/RENTAL COSTS,4015,general
General Government,City Clerk,General Office,General Office,OFFICE SUPPLIES & POSTAGE,4800,general
General Government,City Clerk,General Office,General Office,"PUBLICATIONS, DUES",640,general
General Government,City Clerk,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,1220,general
General Government,City Clerk,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,29895,general
General Government,City Clerk,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,3794,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,DENTAL INS,4748,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,DISABILITY INS,1486,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,FICA,22825,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,HEALTH INS,90705,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,LIFE INS,1244,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,LONGEVITY BENEFIT,765,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,OVERTIME WAGES,6945,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,PT/LTE/SEASONAL WAGES,111502,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,SALARIES & WAGES - CLERKS OFFC,288069,general
General Government,City Clerk,Salary & Benefits,Salary & Benefits,WRS,21296,general
General Government,City Clerk,Software and Contracted Services,Software and Contracted Services,OTHER CONTRACTUAL,1080,general
General Government,City Clerk,Software and Contracted Services,Software and Contracted Services,PROFESSIONAL SERVICES,2500,general
General Government,City Clerk,Software and Contracted Services,Software and Contracted Services,PUBLIC NOTICES & ADVERTISEMENT,19500,general
General Government,City Clerk,Software and Contracted Services,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",29370,general
General Government,City Clerk,"Training,Travel, Tuition","Training,Travel, Tuition",TRAINING & TRAVEL,6400,general
General Government,City Clerk,"Training,Travel, Tuition","Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,1095,general
General Government,FACTv,Equipment Materials & Supplies,Equipment Materials & Supplies,LEVY-CITY-WIDE AV EQUIP,22650,capital
General Government,FACTv,Equipment Materials & Supplies,Equipment Materials & Supplies,LEVY-VIDEO SWITCHERS,5950,capital
General Government,FACTv,Equipment Materials & Supplies,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,9350,general
General Government,FACTv,Equipment Materials & Supplies,Equipment Materials & Supplies,REPAIRS & MAINT SUPPLIES,3000,general
General Government,FACTv,Gasoline and Fuel,"Vehicle Expense, Gas, Fuel",GASOLINE/DIESEL FUEL,875,general
General Government,FACTv,General Office,General Office,OFFICE SUPPLIES & POSTAGE,500,general
General Government,FACTv,General Office,General Office,PUBLIC INFORMATION & EDUCATION,1000,general
General Government,FACTv,General Office,General Office,"PUBLICATIONS, DUES",1695,general
General Government,FACTv,IT Expenses,IT Expenses,IT CAPITAL ISF ALLOCATION,12565,general
General Government,FACTv,IT Expenses,IT Expenses,IT OPERATING ISF ALLOCATION,32970,general
General Government,FACTv,Insurance Expenses,Insurance Expenses,INSURANCE ISF ALLOCATION,10270,general
General Government,FACTv,Salary & Benefits,Salary & Benefits,DENTAL INS,3336,general
General Government,FACTv,Salary & Benefits,Salary & Benefits,DISABILITY INS,1193,general
General Government,FACTv,Salary & Benefits,Salary & Benefits,FACTv Holiday Premium,126,general
General Government,FACTv,Salary & Benefits,Salary & Benefits,FICA,21724,general
